"course_number","course_name","course_description"
"ECE 605","Data Science and Machine Learning Design Laboratory","This course uses a sequence of hands-on projects to bring into sharper focus the following concepts in the data-to-decision cycle: 1. how smart (or bad) data can positively (or negatively) affect decisions in the design and operation of an engineering system; 2. how to acquire such data, clean and store it via appropriate pre-processing and post-processing it for aiding reproducibility; 3. how to display, render, deploy and interpret it in the context of a real or simulated close-up loop type cloud based engineering system; and finally, 4. how to communicate the shortcomings and vulnerabilities of such systems, including plug-and-play systems using pre-trained off-the-shelf deep learning models, when integrated into a decision-making system; 5. conceptualization and execution of an open-ended, reproducible cloud-based design project."
"ECE 620","Electronic and Optical Properties of Semiconductors","The course discusses in detail the theory behind important semiconductor-based experiments such as Hall effect and Hall mobility measurement; velocity-field measurement; photoluminescence; gain; pump-probe studies; pressure and strain-dependent studies. Theory will cover: Bandstructure in quantum wells; effect of strain on bandstructure; transport theory; Monte Carlo methods for high field transport; excitons, optical absorption, luminescence and gain."
"EECS 627","VLSI Design II","Advanced very large scale integrated (VLSI) circuit design. Design methodologies (architectural simulation, hardware description language design entry, silicon compilation, and verification), microarchitectures, interconnect, packaging, noise sources, circuit techniques, design for testability, design rules, VLSI technologies (silicon and GaAs) and yield. Projects in chip design."
"EECS 628","Advanced High Performance VLSI Design","Advanced issues in VLSI design addressing the areas of high performance, low power and reliability. Topics covered include recent approaches in leakage control, high speed on-chip communication, memory design, soft error failures, noise analysis and control, error tolerant design and new circuit families. (Students will complete an advanced project.) (A 4-credit option is available with addition of a substantial design and simulation component to the project.)"
"ECE 631","Electromagnetic Scattering","Boundary conditions, field representations. Low and high frequency scattering. Scattering by half plane (Wiener-Hopf method) and wedge (Maliuzhinets method); edge diffraction. Scattering by a cylinder and sphere: Watson transformation, Airy and Fock functions, creeping waves. Geometrical and physical theories of diffraction."
"ECE 633","Numerical Methods in Electromagnetics","Numerical techniques for antennas and scattering; integral representation: solutions of integral equations: method of moments, Galerkin's technique, conjugate gradient FFT; finite element methods for 2-D and 3-D simulations; hybrid finite element/boundary integral methods; applications: wire, patch and planar arrays; scattering composite structures."
"ECE 634","Nonlinear Optics","Formalism of wave propagation in nonlinear media; susceptibility tensor; second harmonic generation and three-wave mixing; phase matching; third order nonlinearities and four-wave mixing processes; stimulated Raman and Brillouin scattering. Special topics: nonlinear optics in fibers, including solitons and self-phase modulation."
"ECE 638","Quantum Optics","The atom-field interaction; density matrix; quantum theory of radiation including spontaneous emission; optical Bloch equations and theory of resonance fluorescence; coherent pulse propagation; dressed atoms and squeezed states; special topics in nonlinear optics."
"CSE 643","Theory of Neural Computation","This is a graduate course introducing computational models of information processing in mammalian central nervous system. Following a brief overview, the course will examine: (1) Biological principles governing brain computation (e.g., population coding, computation maps, adaptive plasticity, self-organization and modularization, etc.); (2) Mechanisms underlying single neuron computation, via either passive membrane properties (equivalent cylinder model and cable equation for dendrites; integrate-and-fire or Lapique model) or active membrane properties (Hodgkins-Huxley dynamics; F-N reduced system and phase-space analysis); (3) Architectures of artificial neural network (connectionism), including models of simple perception, multi-layered feed-forward network (with supervised, back-propagated error correction learning rule), associative network (Hopfield network and Boltman machine with unsupervised, Hebbian learning rule), and reinforcement (partially supervised) learning algorithms."
"CSE 644","Computational Modeling of Cognition","This course will examine computational models of human cognitive processes. Course goals include learning about important computational models of specific cognitive domains and evaluating the appropriateness and utility of different computational approaches to substantive problems in cognition."
"ECE 650","Channel Coding Theory","The theory of channel coding for reliable communication and computer memories. Error correcting codes; linear, cyclic and convolutional codes; encoding and decoding algorithms; performance evaluation of codes on a variety of channels."
"ECE 659","Adaptive Signal Processing","Theory and applications of adaptive filtering in systems and signal processing. Iterative methods of optimization and their convergence properties: transversal filters; LMS (gradient) algorithms. Adaptive Kalman filtering and least-squares algorithms. Specialized structures for implementation: e.g., least-squares lattice filters, systolic arrays. Applications to detection, noise canceling, speech processing and beam forming."
"ECE 662","Advanced Nonlinear Control","Geometric and algebraic approaches to the analysis and design of nonlinear control systems. Nonlinear controllability and observability, feedback stabilization and linearization, asymptotic observers, tracking problems, trajectory generation, zero dynamics and inverse systems, singular perturbations and vibrational control."
"CSE 670","Special Topics in Computer Architecture","Current topics of interest in computer architecture. This course may be repeated for credit."
"CSE 692","Advanced Artificial Intelligence","Exploration of advanced topics in Artificial Intelligence, intended as preparation for research in the field. Emphasizes research methods and practice, through explicit instruction, analysis of current literature, and a term project devoted to replicating published findings. Coursework comprises extensive reading, research and writing assignments, presentations, quizzes, and the replication project."
"CSE 695","Neural Models and Psychological Processes","Consideration of adaptively and biologically oriented theories of human behavior. Emphasis on both the potential breadth of application and intuitive reasonableness of various models. There is a bias toward large theories and small simulations."
"CSE 698","Master's Thesis","To be elected by CSE students pursuing the master's thesis option. May be taken more than once up to a total of 6 credit hours. To be graded on a satisfactory/unsatisfactory basis ONLY."
"ECE 698","Master's Thesis","To be elected by ECE students pursuing the master's thesis option. May be taken more than once up to a total of 6 credit hours. To be graded on a satisfactory/unsatisfactory basis ONLY."
"CSE 699","Research Work in CSE","Students working under the supervision of a faculty member plan and execute a research project. A formal report must be submitted. May be taken for credit more than once up to a total of 6 credit hours. To be graded satisfactory/ unsatisfactory ONLY."
"ECE 699","Research Work in ECE","Students working under the supervision of a faculty member plan and execute a research project. A formal report must be submitted. May be taken for credit more than once up to a total of 6 credit hours. To be graded satisfactory/ unsatisfactory ONLY."
"ECE 700","Special Topics in System Theory","Special topics of current interest in system theory."
"ECE 720","Special Topics in Solid-State Devices, Integrated Circuits, and Physical Electronics","Special topics of current interest in solid-state devices, integrated circuits, microwave devices, quantum devices, noise, plasmas. This course may be taken for credit more than once."
"ECE 730","Special Topics in Electromagnetics","Special topics of current interest in electromagnetics."
"ECE 735","Special Topics in the Optical Sciences","Key topics of current research interest in ultrafast phenomena, short wavelength lasers, atomic traps, integrated optics, nonlinear optics and spectroscopy. This course may be taken for credit more than once under different instructors."
"ECE 750","Special Topics in Communication and Information Theory","Special topics of current interest related to communication and information theory."
"ECE 755","Special Topics in Signal Processing","Advanced topics in Signal and/or image processing. The specific topics vary with each offering."
"ECE 760","Special Topics in Control Theory","Special topics of current interest related to control theory."
"ECE 765","Special Topics in Stochastic Systems and Control","Advanced topics on stochastic systems such as stochastic calculus, nonlinear filtering, stochastic adaptive control, decentralized control and queuing networks."
"ECE 820","Seminar in Solid-State Electronics","Advanced graduate seminar devoted to discussing current research topics in areas of solid-state electronics. Specific topics vary each time the course is offered. Course may be elected more than once."
"CSE 990","Dissertation/Pre-Candidate","Dissertation work by doctoral student not yet admitted to status as candidate. The defense of the dissertation, that is, the final oral examination, must be held under a full-term candidacy enrollment."
"ECE 990","Dissertation/Pre-Candidate","Dissertation work by doctoral student not yet admitted to status as candidate. The defense of the dissertation, that is, the final oral examination, must be held under a full-term candidacy enrollment."
"CSE 995","Dissertation/Candidate","Election for dissertation work by a doctoral student who has been admitted to candidate status. The defense of the dissertation, that is, the final oral examination, must be held under a full-term candidacy enrollment."
"ECE 995","Dissertation/Candidate","Election for dissertation work by a doctoral student who has been admitted to candidate status. The defense of the dissertation, that is, the final oral examination, must be held under a full-term candidacy enrollment."
